module,path,upstream_path,book,family,line_count,sha256,upstream_url,verify_url
TauLib.BookI.Addressability.AddressResolution,taulib-sources/project/TauLib/BookI/Addressability/AddressResolution.lean,TauLib/BookI/Addressability/AddressResolution.lean,BookI,Addressability,161,c0b13d53f97514f497d4077ce6d7c7ea42b55d7daafe3d9cb282d3a2c18b0a35,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/AddressResolution.lean,/corpus/taulib/docs/book-i-addressability-address-resolution/
TauLib.BookI.Addressability.CayleyMetric,taulib-sources/project/TauLib/BookI/Addressability/CayleyMetric.lean,TauLib/BookI/Addressability/CayleyMetric.lean,BookI,Addressability,128,d809e90b232bee5c9fba07b7ff99429a292d701452b61ab85f7673b66fe0359d,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/CayleyMetric.lean,/corpus/taulib/docs/book-i-addressability-cayley-metric/
TauLib.BookI.Addressability.HingeIntegration,taulib-sources/project/TauLib/BookI/Addressability/HingeIntegration.lean,TauLib/BookI/Addressability/HingeIntegration.lean,BookI,Addressability,326,f7cae72e4dfca5d0ae5cac5a0339d35207e8bb2ddfb1a28dace85c0749595716,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/HingeIntegration.lean,/corpus/taulib/docs/book-i-addressability-hinge-integration/
TauLib.BookI.Addressability.OnticUltrametric,taulib-sources/project/TauLib/BookI/Addressability/OnticUltrametric.lean,TauLib/BookI/Addressability/OnticUltrametric.lean,BookI,Addressability,171,15610ff796e85f3512b5cf83ea6251aa914d31690b133221f6a32e0ef7fb57cb,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Addressability/OnticUltrametric.lean,/corpus/taulib/docs/book-i-addressability-ontic-ultrametric/
TauLib.BookI.Boundary.Bridge.TauIntQuotient,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauIntQuotient.lean,TauLib/BookI/Boundary/Bridge/TauIntQuotient.lean,BookI,Boundary,352,0a3a239307fb52cf692c555cf87874b556f8c5b80a7383811673ec3a7cf235f0,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauIntQuotient.lean,/corpus/taulib/docs/book-i-boundary-bridge-tau-int-quotient/
TauLib.BookI.Boundary.Bridge.TauRatQuotient,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauRatQuotient.lean,TauLib/BookI/Boundary/Bridge/TauRatQuotient.lean,BookI,Boundary,443,c257acf887a2c40377e19166314f8c9db942960064d560554c3d535b03c007bb,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauRatQuotient.lean,/corpus/taulib/docs/book-i-boundary-bridge-tau-rat-quotient/
TauLib.BookI.Boundary.Bridge.TauRealCongruence,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauRealCongruence.lean,TauLib/BookI/Boundary/Bridge/TauRealCongruence.lean,BookI,Boundary,430,d053cd5b0033bdedcd34a7580ce8f5300f3eab1422dd0bad4cc1c56f439d4a70,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauRealCongruence.lean,/corpus/taulib/docs/book-i-boundary-bridge-tau-real-congruence/
TauLib.BookI.Boundary.Bridge.TauRealQuotient,taulib-sources/project/TauLib/BookI/Boundary/Bridge/TauRealQuotient.lean,TauLib/BookI/Boundary/Bridge/TauRealQuotient.lean,BookI,Boundary,339,0a9df9f1170926704a2a7db25d32385d79a6ab8119418251e0a9c08e063d3072,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Bridge/TauRealQuotient.lean,/corpus/taulib/docs/book-i-boundary-bridge-tau-real-quotient/
TauLib.BookI.Boundary.Characters,taulib-sources/project/TauLib/BookI/Boundary/Characters.lean,TauLib/BookI/Boundary/Characters.lean,BookI,Boundary,302,2c293e1fe0cf0b0f3e6f48e689dffeda1d29ae00932cf5efd4b876689d02bc5a,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/Characters.lean,/corpus/taulib/docs/book-i-boundary-characters/
TauLib.BookI.Boundary.ComplexField,taulib-sources/project/TauLib/BookI/Boundary/ComplexField.lean,TauLib/BookI/Boundary/ComplexField.lean,BookI,Boundary,362,c5c8ff8e251be7ee4e53b1e2f59197c32206fc74d5b442c9d6042b803121159e,https://github.com/Panta-Rhei-Research/taulib/blob/cb5e83015b54dd72eba560953fe2461820078757/TauLib/BookI/Boundary/ComplexField.lean,/corpus/taulib/docs/book-i-boundary-complex-field/
