id,step_number,title,book,layer,macro_step_id,macro_step_title,status,canonical_path,short_route,padded_short_route
S001,1,Non-import discipline,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/001-non-import-discipline/,https://prrp.site/s1,https://prrp.site/s001
S002,2,Coherence kernel,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/002-coherence-kernel/,https://prrp.site/s2,https://prrp.site/s002
S003,3,Orbit architecture,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/003-orbit-architecture/,https://prrp.site/s3,https://prrp.site/s003
S004,4,Four-block order readout,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/004-four-block-order-readout/,https://prrp.site/s4,https://prrp.site/s004
S005,5,Nonredundant fold strata,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/005-nonredundant-fold-strata/,https://prrp.site/s5,https://prrp.site/s005
S006,6,Counting as construction,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/006-counting-as-construction/,https://prrp.site/s6,https://prrp.site/s006
S007,7,Iterator ladder,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/007-iterator-ladder/,https://prrp.site/s7,https://prrp.site/s007
S008,8,"Address resolution, not calculation",Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/008-address-resolution-not-calculation/,https://prrp.site/s8,https://prrp.site/s008
S009,9,Hyperfactorization and ABCD chart,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/009-hyperfactorization-and-abcd-chart/,https://prrp.site/s9,https://prrp.site/s009
S010,10,Prime polarity,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/010-prime-polarity/,https://prrp.site/s10,https://prrp.site/s010
S011,11,Internal set theory,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/011-internal-set-theory/,https://prrp.site/s11,https://prrp.site/s011
S012,12,Split-complex boundary algebra,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/012-split-complex-boundary-algebra/,https://prrp.site/s12,https://prrp.site/s012
S013,13,τ-holomorphy as ω-germ transformer,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/013-tau-holomorphy-as-omega-germ-transformer/,https://prrp.site/s13,https://prrp.site/s013
S014,14,Four-valued τ-topos,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/014-four-valued-tau-topos/,https://prrp.site/s14,https://prrp.site/s014
S015,15,Lemniscate characters,Book I,E0,CS-01,Build the τ-Kernel,scaffolded_from_full_spine_rc3,/corpus/construction-spine/steps/015-lemniscate-characters/,https://prrp.site/s15,https://prrp.site/s015
